Px, Py= 48, 4
NNx, NNy= 2880, 240
set_field: n2 before normalizing=   2.303858864127366e+05
iteration=0, norm2(solution): 0.0594884
iteration=10, norm2(solution): 4.31518
iteration=20, norm2(solution): 12.3919
iteration=30, norm2(solution): 21.6013
iteration=40, norm2(solution): 30.5652
iteration=50, norm2(solution): 38.6477
iteration=60, norm2(solution): 45.6206
iteration=70, norm2(solution): 51.4699
iteration=80, norm2(solution): 56.2847
iteration=90, norm2(solution): 60.1956
iteration=100, norm2(solution): 63.3422
iteration=110, norm2(solution): 65.8561
iteration=120, norm2(solution): 67.8538
iteration=130, norm2(solution): 69.4353
iteration=140, norm2(solution): 70.6833
iteration=150, norm2(solution): 71.666
iteration=160, norm2(solution): 72.4384
iteration=170, norm2(solution): 73.0446
iteration=180, norm2(solution): 73.5199
iteration=190, norm2(solution): 73.8924
iteration=200, norm2(solution): 74.1839
iteration=210, norm2(solution): 74.4121
iteration=220, norm2(solution): 74.5906
iteration=230, norm2(solution): 74.7302
iteration=240, norm2(solution): 74.8393
iteration=250, norm2(solution): 74.9246
iteration=260, norm2(solution): 74.9913
iteration=270, norm2(solution): 75.0434
iteration=280, norm2(solution): 75.0841
iteration=290, norm2(solution): 75.1159
iteration=300, norm2(solution): 75.1408
iteration=310, norm2(solution): 75.1602
iteration=320, norm2(solution): 75.1754
iteration=330, norm2(solution): 75.1872
iteration=340, norm2(solution): 75.1965
iteration=350, norm2(solution): 75.2037
iteration=360, norm2(solution): 75.2094
iteration=370, norm2(solution): 75.2138
iteration=380, norm2(solution): 75.2173
iteration=390, norm2(solution): 75.22
iteration=400, norm2(solution): 75.2221
iteration=410, norm2(solution): 75.2237
iteration=420, norm2(solution): 75.225
iteration=430, norm2(solution): 75.226
iteration=440, norm2(solution): 75.2268
iteration=450, norm2(solution): 75.2274
iteration=460, norm2(solution): 75.2279
iteration=470, norm2(solution): 75.2282
iteration=480, norm2(solution): 75.2285
iteration=490, norm2(solution): 75.2288
iteration=500, norm2(solution): 75.2289
iteration=510, norm2(solution): 75.2291
iteration=520, norm2(solution): 75.2292
iteration=530, norm2(solution): 75.2293
iteration=540, norm2(solution): 75.2293
iteration=550, norm2(solution): 75.2294
iteration=560, norm2(solution): 75.2294
iteration=570, norm2(solution): 75.2295
iteration=580, norm2(solution): 75.2295
iteration=590, norm2(solution): 75.2295
iteration=600, norm2(solution): 75.2295
iteration=610, norm2(solution): 75.2295
iteration=620, norm2(solution): 75.2295
iteration=630, norm2(solution): 75.2296
iteration=640, norm2(solution): 75.2296
iteration=650, norm2(solution): 75.2296
iteration=660, norm2(solution): 75.2296
iteration=670, norm2(solution): 75.2296
iteration=680, norm2(solution): 75.2296
iteration=690, norm2(solution): 75.2296
iteration=700, norm2(solution): 75.2296
iteration=710, norm2(solution): 75.2296
iteration=720, norm2(solution): 75.2296
iteration=730, norm2(solution): 75.2296
iteration=740, norm2(solution): 75.2296
iteration=750, norm2(solution): 75.2296
iteration=760, norm2(solution): 75.2296
iteration=770, norm2(solution): 75.2296
iteration=780, norm2(solution): 75.2296
iteration=790, norm2(solution): 75.2296
iteration=800, norm2(solution): 75.2296
iteration=810, norm2(solution): 75.2296
iteration=820, norm2(solution): 75.2296
iteration=830, norm2(solution): 75.2296
iteration=840, norm2(solution): 75.2296
iteration=850, norm2(solution): 75.2296
iteration=860, norm2(solution): 75.2296
iteration=870, norm2(solution): 75.2296
iteration=880, norm2(solution): 75.2296
iteration=890, norm2(solution): 75.2296
iteration=900, norm2(solution): 75.2296
iteration=910, norm2(solution): 75.2296
iteration=920, norm2(solution): 75.2296
iteration=930, norm2(solution): 75.2296
iteration=940, norm2(solution): 75.2296
iteration=950, norm2(solution): 75.2296
iteration=960, norm2(solution): 75.2296
iteration=970, norm2(solution): 75.2296
iteration=980, norm2(solution): 75.2296
iteration=990, norm2(solution): 75.2296
iteration=1000, relative diff2: 2.67618e-22
norm2 of the solution=   7.522958187229746e+01
done: norm2 of the solution=   7.522958187229746e+01
